name,review
krutika kataria,"Viviana Mall is one of the best malls with a great variety of shopping options. It has all the big brand stores under one roof, making it perfect for a full-day shopping experience. The mall is spacious, well-maintained, and has a great food court too. From clothes and accessories to electronics and more, everything is available. A must-visit place for shopping lovers!"
h v,"Viviana Mall in Thane is a premier destination for shopping, dining, and entertainment. Featuring top brands like Zara, H&M, and Reliance Trends, it caters to all budgets. The food court and restaurants offer diverse cuisines, from fast food to fine dining. Entertainment options include Cinepolis for movies and a gaming zone for families. Its spacious layout, ample parking, and wheelchair-friendly facilities add to its appeal. Clean, accessible, and vibrant, Viviana Mall is perfect for a fun-filled day with family and friends."
Lakshmi Pandey,Good mall in Thane.Have variety of brands.Food court was good too.But I found some brand was missing.As we visited on weekend the rush was too much so if anyone wants good shopping experience visit on weekday.
renjith kadungadan,"Good, Viviana Mall is a shopping mall located in Thane West, Thane, Maharashtra. Located on the Eastern Express Highway.
Brands across apparel, electronics, beauty, accessories, and home goods, including major players like Zara, H&M, Lifestyle, Shoppers Stop, The Body Shop, Reliance Digital, and Hidesign. The mall also features a Cinepolis multiplex, a variety of dining options such as Burger King and Pizza
Being a family of over 250 premium brands, we have grown into a one-stop destination for all your needs"
laxminarayan satrate,"It is the best mall in Thane as per my point of view.  Have been here multiple times but never get bored.Whatever required everything available like clothes, food, theatre, gaming zone and much more. It is located near the highway so easily reachable without any traffic congestion."
Vikas Gupta,"Great place for shopping and visiting the cinema. There are rides for children to go on. Also variety of shops and food places to visit. A good place to walk around and enjoy the atmosphere.

Vivana mall with great shopping, dinning and ambiance. Perfect weekend hangout spot"
Arya Mitra,"An over populated hyped mall in Thane district
It gets too crowded on weekends
On weekdays
A pleasant spot
Cinepolis is a great getaway,
Food court has mostly all options

But all the stores are the regular ones

Miss Ambience mall"
Neeraj Mutha,"Viviana Mall, situated in Thane West, Maharashtra, stands as a prominent retail and entertainment hub. Sprawling across a significant area, it offers a diverse and immersive experience with its extensive selection of over 250 stores, encompassing both Indian and international brands across fashion, electronics, home goods, and more. Beyond shopping, Viviana Mall caters to leisure and entertainment with a large Cinepolis multiplex featuring multiple screens and advanced cinematic technology, alongside a dedicated family entertainment center, Fun City, offering arcade games and other engaging activities. The mall also provides a wide array of dining options, from casual cafes and quick bites to formal restaurants and a bustling food court, ensuring a complete day-out experience for visitors of all ages. Recognized for its accessibility, Viviana Mall is notably India's first visually impaired-friendly mall, incorporating features to aid navigation for all its patrons."
Taral Shah,"This is the place to be when in Thane. In fact why only Thane but one of the best malls across the central suburbs

It is a huge mall with almost all.popular brand stores.

3rd level has the movie theatre (Cinepolis), the game zone and the food court.

There is paid parking for 2 wheelers and 4 wheelers available in basement."
Atul Kolhhe,"Very big and beautiful mall. It has wide variety of shops with lot of good brands having shops around. Mall parking is very big but chargeable.
Food court is quite big but mostly full on weekends. It has good restaurants too. Decathlon, Lifestyle, Shopper's stop... All is available here. Worth a visit for shopping plus spending time on weekends."
akash thakur,Excellent mall and infrastructure and overall food quality and my personal shopping experience was the best over here
Niyati Padki,"It has everything you want in a mall.
It's a very huge and spacious mall.
Has seating arrangements.
Has a theatre.
Has many shopping outlets.
Has washrooms.
Visit during festivals or special occasions to witness the fabulous decorations.
Has a huge good court on the top floor.
There is a walkover bridge to reach the mall.
Be prepared to walk a lot.
Photogenic place.
No entry fees.
Rickshaws are available outside the mall.

Happy Travelling!!"
Tasty Traveler,"Viviana Mall in Thane is one of India's largest shopping malls, located on the Eastern Express Highway. It's a popular spot for shopping, entertainment, and dining, with over 250 stores including big names like Shoppers Stop and Marks & Spencer.

### Main Features:
- **Stores**: Lots of shops with everything from clothes and electronics to home decor.
- **Entertainment**: A large movie theater (Cinepolis) with an IMAX screen, and a big gaming zone for kids.
- **Food**: A big food court with many different types of food, plus several nice restaurants and cafes.
- **Events**: Regular events and activities, especially during festivals.

### Weekend Crowds:
- **Busy Times**: The mall is very crowded on weekends, with lots of families and young people coming for shopping and entertainment.
- **Parking Problems**: Finding parking can be tough on weekends because the parking lot fills up quickly. There can be long waits and traffic jams.

### Tips for Visitors:
- **Arrive Early**: Get there early to find a parking spot.
- **Public Transport**: Consider using public transport or ride-sharing services.
- **Valet Parking**: Use valet parking if available to save time.

### Extra Services:
- **Accessibility**: Ramps and elevators for people with disabilities.
- **Security**: Lots of security measures like cameras and guards.
- **Help Desks**: Information desks to help visitors.

Overall, Viviana Mall is a great place for shopping and fun, especially if you plan ahead for the weekend crowds and parking."
Babar Khatri,One of the greatest mall in thane .Its very huge from Inside parking space is also there but it paid. You can roam around with your kids therenare remote control gaming car for kids the charges are 100 per kids they will roam around the floor  you have best eating option as the third floor is has specific food court. Clothes shopping would be nice there.
Suhaib Shaikh,The mall is good with ample parking space and has lots of options for shopping and food. The game zone also has variety of options but they need to increase the size of dashing car ground.
Immersive Explorer,"Well one of the famous Mall in Thane. Great place to have all things at one roof. It has everything right from food, cinemas, clothing, toys, and much more.

One of the best things I liked about this place is that in the parking lot, you do not have to worry about cash or card. The parking fee is connected to fastag so it deducts money from your fastag wallet on the basis of time you parked. Valid only for 4 wheeler."
Nasir Shaikh,One of successful malls in Thane. Good vibe and brands within.
