name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
krutika kataria,"Viviana Mall is one of the best malls with a great variety of shopping options. It has all the big brand stores under one roof, making it perfect for a full-day shopping experience. The mall is spacious, well-maintained, and has a great food court too. From clothes and accessories to electronics and more, everything is available. A must-visit place for shopping lovers!",positive,the customer highly recommends Viviana Mall.,It offers a wide range of shopping options.,The mall is spacious and well-maintained.,"['wide variety of stores', 'spacious mall', 'well-maintained', 'great food court', nan]",
h v,"Viviana Mall in Thane is a premier destination for shopping, dining, and entertainment. Featuring top brands like Zara, H&M, and Reliance Trends, it caters to all budgets. The food court and restaurants offer diverse cuisines, from fast food to fine dining. Entertainment options include Cinepolis for movies and a gaming zone for families. Its spacious layout, ample parking, and wheelchair-friendly facilities add to its appeal. Clean, accessible, and vibrant, Viviana Mall is perfect for a fun-filled day with family and friends.",positive,"Viviana Mall offers a premier shopping, dining, and entertainment experience.",It features top brands and diverse cuisines.,"The mall is clean, accessible, and vibrant.","['top brands', 'diverse cuisines', 'clean environment', 'spacious layout', nan]",
Lakshmi Pandey,Good mall in Thane.Have variety of brands.Food court was good too.But I found some brand was missing.As we visited on weekend the rush was too much so if anyone wants good shopping experience visit on weekday.,positive,the customer enjoyed a good shopping experience at the mall.,There was a variety of brands available.,Food court was also good.,"['variety of stores', 'good food court', 'weekday visits recommended', nan, nan]",
renjith kadungadan,"Good, Viviana Mall is a shopping mall located in Thane West, Thane, Maharashtra. Located on the Eastern Express Highway.
Brands across apparel, electronics, beauty, accessories, and home goods, including major players like Zara, H&M, Lifestyle, Shoppers Stop, The Body Shop, Reliance Digital, and Hidesign. The mall also features a Cinepolis multiplex, a variety of dining options such as Burger King and Pizza
Being a family of over 250 premium brands, we have grown into a one-stop destination for all your needs",positive,the customer found Viviana Mall to be a comprehensive shopping destination.,It offers a wide range of brands and dining options.,,"['large selection', 'family-friendly', 'quality brands', 'diverse offerings', nan]",
laxminarayan satrate,"It is the best mall in Thane as per my point of view.  Have been here multiple times but never get bored.Whatever required everything available like clothes, food, theatre, gaming zone and much more. It is located near the highway so easily reachable without any traffic congestion.",positive,the customer considers it the best mall in Thane.,It has been visited multiple times without getting bored.,Everything required is available.,"['best shopping mall', 'multiple visits', 'variety of stores', 'easy location', nan]",
Vikas Gupta,"Great place for shopping and visiting the cinema. There are rides for children to go on. Also variety of shops and food places to visit. A good place to walk around and enjoy the atmosphere.

Vivana mall with great shopping, dinning and ambiance. Perfect weekend hangout spot",positive,the customer enjoyed Vivana mall.,It offers great shopping and dining options.,The ambiance is perfect for a weekend hangout.,"['great shopping', 'delicious food', 'nice ambiance', nan, nan]",
Arya Mitra,"An over populated hyped mall in Thane district
It gets too crowded on weekends
On weekdays
A pleasant spot
Cinepolis is a great getaway,
Food court has mostly all options

But all the stores are the regular ones

Miss Ambience mall",positive,the customer found the mall overpopulated on weekends.,The mall offers a pleasant atmosphere on weekdays.,Cinepolis provides a great escape.,"['crowded on weekends', 'pleasant spot', 'great cinema', 'many food options', nan]",
Neeraj Mutha,"Viviana Mall, situated in Thane West, Maharashtra, stands as a prominent retail and entertainment hub. Sprawling across a significant area, it offers a diverse and immersive experience with its extensive selection of over 250 stores, encompassing both Indian and international brands across fashion, electronics, home goods, and more. Beyond shopping, Viviana Mall caters to leisure and entertainment with a large Cinepolis multiplex featuring multiple screens and advanced cinematic technology, alongside a dedicated family entertainment center, Fun City, offering arcade games and other engaging activities. The mall also provides a wide array of dining options, from casual cafes and quick bites to formal restaurants and a bustling food court, ensuring a complete day-out experience for visitors of all ages. Recognized for its accessibility, Viviana Mall is notably India's first visually impaired-friendly mall, incorporating features to aid navigation for all its patrons.",positive,Viviana Mall is a prominent retail and entertainment hub.,It offers a diverse range of stores and dining options.,The mall is accessible and inclusive.,"['diverse stores', 'large cinema', 'family entertainment', 'wide dining options', 'accessible design']",
Taral Shah,"This is the place to be when in Thane. In fact why only Thane but one of the best malls across the central suburbs

It is a huge mall with almost all.popular brand stores.

3rd level has the movie theatre (Cinepolis), the game zone and the food court.

There is paid parking for 2 wheelers and 4 wheelers available in basement.",positive,the customer enjoys shopping at this mall.,The mall offers a variety of popular brands.,The entertainment options are diverse.,"['large mall', 'many brands', 'entertainment options', 'parking facility', nan]",
Atul Kolhhe,"Very big and beautiful mall. It has wide variety of shops with lot of good brands having shops around. Mall parking is very big but chargeable.
Food court is quite big but mostly full on weekends. It has good restaurants too. Decathlon, Lifestyle, Shopper's stop... All is available here. Worth a visit for shopping plus spending time on weekends.",positive,the customer enjoyed a large and beautiful mall.,It offers a wide variety of shops with many good brands.,"The mall has ample parking, though it is chargeable.","['big and beautiful', 'wide variety of shops', 'good brands', 'big parking', 'good food court']",
akash thakur,Excellent mall and infrastructure and overall food quality and my personal shopping experience was the best over here,positive,the customer had an excellent experience at the mall.,The infrastructure and food quality were top-notch.,"Overall, the shopping experience was exceptional.","['excellent mall', 'good infrastructure', 'high-quality food', 'best shopping experience', nan]",
Niyati Padki,"It has everything you want in a mall.
It's a very huge and spacious mall.
Has seating arrangements.
Has a theatre.
Has many shopping outlets.
Has washrooms.
Visit during festivals or special occasions to witness the fabulous decorations.
Has a huge good court on the top floor.
There is a walkover bridge to reach the mall.
Be prepared to walk a lot.
Photogenic place.
No entry fees.
Rickshaws are available outside the mall.

Happy Travelling!!",positive,the customer enjoyed visiting the mall.,The mall offers various amenities and attractions.,The mall is large and well-equipped.,"['large mall', 'many stores', 'good food', 'nice decorations', 'free entrance']",
Tasty Traveler,"Viviana Mall in Thane is one of India's largest shopping malls, located on the Eastern Express Highway. It's a popular spot for shopping, entertainment, and dining, with over 250 stores including big names like Shoppers Stop and Marks & Spencer.

### Main Features:
- **Stores**: Lots of shops with everything from clothes and electronics to home decor.
- **Entertainment**: A large movie theater (Cinepolis) with an IMAX screen, and a big gaming zone for kids.
- **Food**: A big food court with many different types of food, plus several nice restaurants and cafes.
- **Events**: Regular events and activities, especially during festivals.

### Weekend Crowds:
- **Busy Times**: The mall is very crowded on weekends, with lots of families and young people coming for shopping and entertainment.
- **Parking Problems**: Finding parking can be tough on weekends because the parking lot fills up quickly. There can be long waits and traffic jams.

### Tips for Visitors:
- **Arrive Early**: Get there early to find a parking spot.
- **Public Transport**: Consider using public transport or ride-sharing services.
- **Valet Parking**: Use valet parking if available to save time.

### Extra Services:
- **Accessibility**: Ramps and elevators for people with disabilities.
- **Security**: Lots of security measures like cameras and guards.
- **Help Desks**: Information desks to help visitors.

Overall, Viviana Mall is a great place for shopping and fun, especially if you plan ahead for the weekend crowds and parking.",positive,the customer found Viviana Mall to be a great place for shopping and fun.,"It has lots of stores, entertainment options, and food choices.","However, finding parking can be challenging on weekends.","['large shopping mall', 'many stores', 'big food court', 'entertainment options', 'good accessibility']",
Babar Khatri,One of the greatest mall in thane .Its very huge from Inside parking space is also there but it paid. You can roam around with your kids therenare remote control gaming car for kids the charges are 100 per kids they will roam around the floor  you have best eating option as the third floor is has specific food court. Clothes shopping would be nice there.,positive,the customer found the mall to be one of the greatest in Thane.,It offers ample space inside with a parking area.,There are remote control gaming cars for kids available.,"['large mall', 'good parking', 'family-friendly', 'food options', 'clothing stores']",
Suhaib Shaikh,The mall is good with ample parking space and has lots of options for shopping and food. The game zone also has variety of options but they need to increase the size of dashing car ground.,positive,the customer found the mall good.,It offers ample parking space and various shopping and food options.,The game zone needs more space for the dashing car ground.,"['ample parking', 'shopping options', 'food choices', 'game variety', nan]",
Immersive Explorer,"Well one of the famous Mall in Thane. Great place to have all things at one roof. It has everything right from food, cinemas, clothing, toys, and much more.

One of the best things I liked about this place is that in the parking lot, you do not have to worry about cash or card. The parking fee is connected to fastag so it deducts money from your fastag wallet on the basis of time you parked. Valid only for 4 wheeler.",positive,the customer enjoyed shopping at the mall.,The parking system was convenient.,It offers a variety of options.,"['convenient parking', 'fastag integration', 'parking without cash', nan, nan]",
Nasir Shaikh,One of successful malls in Thane. Good vibe and brands within.,positive,the customer found the mall successful.,It has a good vibe.,Brands are well-presented.,"['successful mall', 'good vibes', 'brand variety', nan, nan]",
Sakshi Dudani,"A great place to chill, hangout with Friends, family & colleagues. All fancy stores & utility Stores. Chill game zone & a huge variety for food. Overall a great place to hangout & spend your weekend.",positive,the customer enjoyed a great shopping experience.,There were many stores and options available.,A chill game zone was also present.,"['fun atmosphere', 'variety of stores', 'good entertainment', 'delicious food', nan]",
