name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
Rhea Danny,"The school provides an excellent balance of academics and extracurricular activities, ensuring overall student growth.
The teachers are highly supportive, creating a nurturing and motivating learning environment.
The facilities and management are well-organized, making it a truly commendable institution.",positive,the student found the school balanced academically and extracurricularly.,The teachers were highly supportive.,The facilities and management were well-organized.,"['excellent balance', 'supportive teachers', 'nurturing environment', 'well-organized facilities', nan]",
snehal kamble,"Overall school is good in both educational & extracurricular activities with dedicated staff & teachers who are very knowledgeable, supportive& sincere towards students. Facilities are clean & modern, curriculum is really engaging and including dance & theatre adds to overall development of child. Also it will be very helpful for kids if the teachers continue on long term basis since they have bonded very well with the kids. Also suggest to have a swimming pool & ground of its own soon.",positive,"Overall, the school is good.",It offers both educational and extracurricular activities.,Facilities are clean and modern.,"['good education', 'dedicated staff', 'clean facilities', 'engaging curriculum', nan]",
kartikee vaity,"The school is doing well overall with dedicated teachers who put sincere effort into students learning including efforts by dance and-theatre teachers which add to their overall development. However having a proper school ground, an in campus swimming pool and separate entry/exit gates would make it even better. Also it would be great if same teachers continue long term for better continuity  and bonding with students.",positive,the student believes the school is doing well overall.,Dedicated teachers are putting sincere effort into students' learning.,Additional facilities like a proper school ground and swimming pool would enhance the school.,"['dedicated teachers', 'student learning', 'extracurricular activities', nan, nan]",
Omkar Sawant,"The infrastructure is good and location is convenient from travelling perspective. School teachers are good and put lot of efforts in development of kids. The school has multiple activities for kid's progress. Overall, I have a good experience with this school.",positive,the student had a good experience at the school.,The school infrastructure and location were convenient.,The teachers put effort in developing children.,"['good infrastructure', 'convenient location', 'excellent teachers', 'various activities', 'positive experience']",
Parthi,"A great school with dedicated teachers and a positive environment. It supports both academics and activities, helping students in personal growth and overall development. Well-managed and disciplined.
Highly recommend it!",positive,the student attended a great school.,The school has dedicated teachers and a positive environment.,It supports both academics and activities.,"['dedicated teachers', 'positive environment', 'academic support', 'personal growth', 'well-managed']",
Reshmi Kithani,"Nice school. Lots of activities so that children get engaged . Teachers are co- operative, curriculum is awesome. My both children have improved and have lots of fun here",positive,the student attended a nice school.,There were many engaging activities.,The teachers were cooperative.,"['nice school', 'engaged children', 'cooperative teachers', 'awesome curriculum', nan]",
Reyaa pote,"Only a positive review for a drama/theatre/dance teachers(Trupti/ Shivani)
they have strong relationships with their students by being warm, available & kind
They are very supportive and engaging learning environment and helping good impact on student growth.

But about school poor management need to improve at any cost its high time now",positive,the student had excellent teachers.,"Teachers were warm, available, and kind.",School management needs improvement.,"['warm teachers', 'supportive environment', 'kind availability', 'good impact', nan]",
Jagiprasad Yadav,It is really wonderful experience with orchid international mulund school. My baby is in K1 and I could see the level of support and education given at the centre is really helpful for my child specially the curriculum is nicely draft for pre primary level students.,positive,the student had a wonderful experience at Orchid International Mulund School.,The school provides excellent support and education for young children.,The curriculum is well-drafted for pre-primary level students.,"['wonderful experience', 'supportive education', 'helpful curriculum', nan, nan]",
laxminarayan satrate,"it is good school over all. it has all required facilities, teachers and labs. my son is also going in same school since 2022. only one thing is not there is sports ground, children has to go to other near by ground. if play ground can be added then I can say all facilities present.",positive,the student attends a good school overall.,"The school has all necessary facilities, teachers, and labs.","There is no sports ground, which affects children.","['good school overall', 'adequate facilities', 'quality teachers', 'laboratories', 'sports facility']",
Navjot S,"It's very good school, there teaching method and activities.my daughter love the activities which are conducted by teachers...lots of improvements are there in my daughter.",positive,the student attends a good school.,The teaching methods and activities are appreciated.,The student enjoys the activities.,"['good teaching', 'quality education', 'positive impact', 'improved performance', nan]",
Hansa Chauhan,"Lovely school with a warm environment. Friendly staff and great focus on students growth and activities.
Highly recommend!!",positive,the student enjoyed a lovely school environment.,The staff were friendly and supportive.,The school focused on students' growth and activities.,"['warm environment', 'friendly staff', 'student growth', 'great focus', 'highly recommend']",
Madhura Sawant,"School is supportive and my kid has started enjoying school.
He has learned addtional curicular activities like skating swimming....",positive,the student's school is supportive.,The student enjoys school now.,Additional curricular activities have been introduced.,"['supportive school', 'enjoying school', 'additional curricular', nan, nan]",
Aparna Sawant,"All educational facilities are excellent.

But required play ground for sports.

Teachers keeps on changing.So this needs to be sorted out.",positive,the student found all educational facilities excellent.,"However, there is a need for a playground for sports.","The teachers keep changing, which requires sorting out.","['excellent facilities', 'playground needed', 'teacher stability', nan, nan]",
DP SERVICES,"Nice school,our kids are safe,happy and I can see much improvement in him.....I am happy that I have taken a good decision for my kid.....",positive,the student is happy with the school.,The environment is safe and supportive.,There has been noticeable improvement in the student's performance.,"['safe environment', 'happy students', 'improved performance', 'good decision', nan]",
Priti Chauhan,Good school! provides best facilities and study to the students. Very helpful faculty.,positive,the student attended a good school.,The school provided excellent facilities and study opportunities.,The faculty were very helpful.,"['best facilities', 'quality education', 'helpful faculty', nan, nan]",
shivangi singh,Along with the Academics and extra curricular activities best for growth and endless opportunities across India,positive,the student enjoyed their academics.,They also participated in extracurricular activities.,These experiences provided endless opportunities.,"['academically strong', 'outdoor activities', 'growth opportunities', nan, nan]",
Shubhangi Joshi,Orchid International School is a dedicated institution where caring teachers genuinely support students' education and growth.,positive,the student attended Orchid International School.,The school has dedicated teachers.,The teachers support students' education and growth.,"['dedicated school', 'caring teachers', 'supportive learning', 'student growth', nan]",
Pawan Rai,"Unprofessional approach, non experienced teachers, admin is just blank about the queries and resolving the issue, for admission they hire  freshers as their admin team, they commit fake informations and then school management remove those staffs and hire again the new staffs and same issues continue...",negative,the student encountered unprofessional treatment.,The teachers lacked experience.,The administration ignored queries.,,"['unprofessional teaching', 'inexperienced teachers', 'poor administrative', 'fake information', nan]"
Vaishali Palan,So far the we can feel our daughter's learning experience is good with Orchid.She is able to learn new things quickly.,positive,the student feels their learning experience is good.,Their child is learning new things quickly.,,"['positive learning', 'quick learning', 'good experience', nan, nan]",
