name,review,sentiment,feedback1,feedback2,feedback3,positive_kws,negative_kws
Nasiba S,"Korum Mall is a popular shopping, dining, and entertainment destination located in Thane, Maharashtra, India. It's situated on the Eastern Express Highway, making it easily accessible from various parts of Thane and the central suburbs of Mumbai",positive,Korum Mall is a popular shopping destination.,It is well located on the Eastern Express Highway.,,"['popular destination', 'easy access', 'shopping mall', nan, nan]",
Loy Lobo,Beautiful decoration..good place to  move around . Good contests are held out here,positive,the customer found the mall beautifully decorated.,Good contests were held at the mall.,It is a good place to move around.,"['beautiful decor', 'good shopping', 'exciting events', nan, nan]",
Rahul,"Located 5 mins away from Viviana mall
This is one of the most popular malls in Thane
Food courts is available at last floor
Also cinema multiplex theatre is available
Bowling and timezone is also available
Has large parking facility
Barbeque nation haldiram burger king is also available",positive,the customer found the mall very popular.,"It offers various amenities like food courts, cinemas, bowling, and barbeques.",The mall has ample parking space.,"['popular mall', 'large parking', 'food options', 'cinema available', nan]",
Azeem Wakle,"Spacious Mall located near Eastern Express Highway. Easily accessible from Highway.
Ome can get Autorickshaw from Thane station west directly to Korum Mall. Buses are also available from TMT flyover. This mall have various types of food franchise, and other different cloths and Footwear franchise. Gamezone is available with plenty of gaming options for all types of children. INOX cinema is also there. The space is neat and clean and well maintained. Washrooms are available on each floor with cleanliness and hygiene.",positive,the customer found the mall spacious and well-maintained.,It offers various food and clothing franchises.,Gamezone and INOX cinema are available.,"['large mall', 'good location', 'various stores', 'cleanliness', nan]",
Madhura Khadpe,"Korum Mall is a great shopping destination in Thane, offering a wide variety of stores, from fashion and electronics to lifestyle brands. The food court is impressive, with plenty of options like KFC, McDonald's, and local favorites. The mall is clean, well-maintained, and has a good mix of entertainment options, including a PVR cinema and play areas for kids. Parking is convenient, and the overall vibe is lively. A perfect place to shop, eat, and unwind",positive,the customer enjoyed a great shopping experience at Korum Mall.,The mall offers a wide variety of stores and entertainment options.,Parking is convenient and the overall vibe is lively.,"['wide variety of stores', 'impressive food court', 'clean and well-maintained', 'convenient parking', 'lively atmosphere']",
Sahil Shaikh,The good thing about this mall is that it ticks all the requirements of a person visiting from food court to INOX. Though it's not too big compared to other but you can have whatever you want here. The entrance is really nice and big and the mall is really well maintained.,positive,the customer found the mall suitable for various needs.,The mall has a good mix of food courts and entertainment options.,The entrance is large and well-maintained.,"['nice entrance', 'well-maintained', 'food options', 'big space', nan]",
Ayesha N,"Nice mall with a good mix of shops and restaurants. The place is clean, has a lively vibe, and is great for family outings. Food options are tasty, and parking is okay. Gets a bit crowded on weekends, but overall a very good mall in Thane!",positive,the customer enjoyed a nice shopping mall experience.,It had a good mix of shops and restaurants.,The mall was clean and lively.,"['clean mall', 'family-friendly', 'good food', 'nice ambiance', nan]",
Support adaptableconsultancy,"Ease of parking, space in the food court for big groups to sit freely. Almost all big labels in food are available. Acceptance of Card payment and UPI in many shops are a challenge.",positive,the customer found ease of parking.,There is ample space for big groups.,Most food brands are available.,"['easy parking', 'big food court', 'many brands', 'card payment', nan]",
Pankaj Sharma,Nice mall in Thane. Location is good. Traffic is much less than the Viviana mall. Does not have too much rush. Parking area needs to be improved. It Seems too dated. Shopping options are decent but much less than the larger malls like Viviana.  Food options are also limited.  Bars are good with good selection. Haldiram there is not that good in terms of quality. Haldiram food is much better in other joints. Kids would love the play zones. Multiple options are there. Have to drag kids out of the play zone. Need only 2-3 hours to visit the entire mall. Some unique shops like wear your attitude is also there. They allow you to custom design your t shirts with the desired prints in just one hour. Should explore at least once.,positive,the customer enjoyed the mall's location and traffic conditions.,The parking area needs improvement.,Unique shops like Wear Your Attitude offer customization services.,"['nice location', 'good traffic', 'limited shopping', 'improved parking', 'unique shops']",
Arvind Nadkarni,"Modern Mall, All super brands available. Exclusive BOSE store, huge Westside branch, Reliance digital, Star Hyper bazar, Bata Crossword & a host of others. Well lit, spacious & throbbing with events,live music. Huge Food Mall & INOX cinemas. Escalators & wheelchair assistance. Huge underground parking accomodating 300 cars. One could spend hours & children love the games parlours. A must visit",positive,the customer enjoyed shopping at the mall.,The mall offers a variety of brands and entertainment options.,"It is well-lit, spacious, and has ample parking.","['wide variety of stores', 'well-lit', 'large parking', 'family-friendly', 'exciting events']",
