,Unnamed: 0,name,reviews,sentiment,feedback1,feedback2,feedback3,pos_keywords,neg_keywords
0,0,Meenal Kedare,"I went there for dinner. Food is very delicious....If you are a crab lover then visit here.....tawa surmai, chicken bhat nd Crab was so yummy nd price is also reasonable.",POSITIVE,The customer went there for dinner.,The food is very delicious.,"The tawa surmai, chicken bhat, and crab was so yummy.",['food delicious'],
1,1,Kshitij Sabale,"Surmai Thali is best priced and worth it, the solkadhi is awesome as well",POSITIVE,The Surmai Thali is best priced.,The solkadhi is awesome.,It is worth it.,"['thali best priced', 'surmai thali best', 'thali best', 'best priced', 'solkadhi awesome']",
2,2,superstar nikhyl,Sea food restaurant with bar. Authentic malvani cuisine. Food quality and taste is good.,POSITIVE,The restaurant serves authentic malvani cuisine.,The food quality is good.,The taste of the food is good.,"['authentic malvani cuisine', 'serves authentic malvani', 'authentic malvani', 'restaurant serves authentic', 'serves authentic']",
3,3,Shweta Amberkar,Good test,POSITIVE,The reviewer gives a positive assessment.,The test is described as good.,The reviewer's opinion is optimistic.,"['reviewer gives positive', 'gives positive assessment', 'positive assessment', 'gives positive', 'test described good']",
4,4,Jitesh Nimse,Very Good Test of Veg.,POSITIVE,The veggie dish is very good.,The test is a success.,The veggie dish is a success.,"['veggie dish good', 'dish good', 'test success', 'veggie dish success', 'dish success']",
5,5,hema Naula,Loved it,POSITIVE,The customer loved the experience.,The customer enjoyed the atmosphere.,The customer appreciated the service.,"['customer loved experience', 'customer loved', 'loved experience', 'customer enjoyed atmosphere', 'customer enjoyed']",
6,6,sanika khot,"The food here is fantastic they serveauthentic Malvani cuisine.
Must try are their thaalis and prawns fry.",POSITIVE,The food here is fantastic.,They serve authentic Malvani cuisine.,Must try are their thaalis and prawns fry.,"['food fantastic', 'authentic malvani cuisine', 'serve authentic malvani', 'authentic malvani', 'serve authentic']",
7,7,Reshma Lokhande,"We ordered three different types of thali. Ravas thali, Surmai thali and bheja fry thali. The taste was authentic and good.. Fish lovers must visit this hotel...",POSITIVE,The hotel offers three types of thali.,The taste is authentic and good.,Fish lovers must visit this hotel.,"['offers types thali', 'hotel offers types', 'hotel offers', 'offers types', 'taste authentic good']",
8,8,Shriraj Agashe,"One of the best Seafood family restaurant in Thane, enjoy with best of  liquor brands.",POSITIVE,The Seafood family restaurant in Thane is one of the best.,The restaurant offers the best liquor brands.,The customers can enjoy the best of both worlds.,"['restaurant thane best', 'thane best', 'best liquor brands', 'offers best liquor', 'best liquor']",
9,9,Ketan Kolamkar,"Food quality: Good
Price: Reasonable
Service: Slow
Ambience: Could be better
Hygiene: Needs improvement",NEUTRAL,The customer found the food quality to be good.,The price was reasonable for the customer.,The customer experienced slow service.,,
