,Unnamed: 0,name,reviews,sentiment,feedback1,feedback2,feedback3,pos_keywords,neg_keywords
0,0,124-Santoshi Pujari,Better than viviana mall.,POSITIVE,The mall offers better shopping experience.,The customer prefers this mall over viviana mall.,The mall provides a better overall experience.,"['mall offers better', 'better shopping experience', 'mall offers', 'offers better shopping', 'better shopping']",
1,1,Anil Chaudhary,Had seen better days.. still is a good mall.. the management should look at the parking lot,POSITIVE,The mall has seen better days.,The mall is still good.,The parking lot needs attention.,"['mall seen better', 'seen better days', 'better days', 'seen better', 'mall good']",
2,2,Ganesh Vishwakarma,One of best mall in thane,POSITIVE,The mall in Thane is one of the best.,The mall offers great shopping experience.,The mall is a popular destination.,"['mall thane best', 'thane best', 'mall offers great', 'mall offers', 'great shopping experience']",
3,3,Akhila B M,Showed the way even after taking a wrong turn,NEUTRAL,The customer took a wrong turn.,The customer showed the way after that.,The customer corrected their path.,,
4,4,Sharad singh,Nice place to hang out and play games or food and movies,POSITIVE,The customer enjoys playing games at this place.,The customer likes watching movies here.,The customer appreciates the food options available.,"['food options available', 'options available']",
5,5,daud mulla,Cloth,NEUTRAL,The cloth is soft and gentle on the skin.,The cloth is suitable for delicate fabrics.,The cloth is easy to wash and maintain.,,
6,6,Surabhi S. Shrikhande,"Car parking is weird. Entry to mall from car parking floors is very dirty and smells really bad.
Mall from inside is like your regular shopping malls.",NEGATIVE,The customer finds car parking weird.,The entry to the mall from car parking floors is dirty and smells bad.,,,"['car parking weird', 'parking weird', 'dirty smells bad', 'floors dirty smells', 'parking floors dirty']"
7,7,Kiran Bhamre,Very nice place,POSITIVE,The place is very nice.,,,['place nice'],
8,8,ayaan khan,Excellent so good,POSITIVE,The reviewer praises the product as excellent.,The reviewer describes the product as good.,The reviewer expresses enthusiasm for the product.,"['praises product excellent', 'product excellent', 'describes product good', 'product good']",
9,9,Bhavik Dharmadhikari,Very Good place..must visit.,POSITIVE,The place is very good.,,,['place good'],
10,10,Arfat Khan,Awesome,POSITIVE,The reviewer praises the product with a single word: Awesome.,The customer is thrilled with the product's performance.,"The reviewer's enthusiasm is evident in their brief, yet powerful, review.","['single word awesome', 'word awesome', 'thrilled product performance', 'customer thrilled product', 'customer thrilled']",
11,11,Savio Cardoz,What is the point of having a customer desk and phone number given if no one picks up ..consistently for 2 days ..,NEGATIVE,The customer is frustrated with the lack of response.,The customer has experienced no response for 2 days.,The customer desk and phone number are ineffective.,,"['customer frustrated lack', 'customer frustrated', 'frustrated lack response', 'frustrated lack']"
12,12,Ganesh Patil,Bad smell to lifts and all stuffs life are rude behaviour bad smelling not good for health,NEGATIVE,The customer complains about bad smell.,The staff is rude and unfriendly.,The bad smell is not good for health.,,"['bad smell', 'complains bad smell', 'customer complains bad', 'complains bad', 'staff rude unfriendly']"
13,13,Kishan Bundimutt,The lifts of the parking area are too slow!,NEGATIVE,The lifts are too slow.,The parking area has slow lifts.,The customer is frustrated with the slow lifts.,,"['slow lifts', 'lifts slow', 'parking area slow', 'area slow lifts', 'area slow']"
14,14,sandeep mohan,Good.mall.need some attractions to pull crowd,NEUTRAL,The mall needs some attractions.,The mall requires some attractions.,The mall lacks attractions.,,
15,15,Adarsh Gupta,Good,POSITIVE,The reviewer praises the product.,The product is good.,The reviewer is satisfied.,"['product good', 'reviewer satisfied']",
16,16,Parag Bhandare,Happy to shopping,POSITIVE,The customer is happy to shop.,,,"['customer happy shop', 'customer happy', 'happy shop']",
17,17,Dr Kajol Poladia,Baddd state of washrooms.. pathetic. There is no washroom at ground floor. Zero. There is one accessibility washroom which was closed. Very bad state of mall. Flush not working too,NEGATIVE,The washrooms are in a bad state.,There is no washroom at the ground floor.,The accessibility washroom was closed.,,"['washrooms bad state', 'washrooms bad', 'bad state', 'accessibility washroom closed', 'washroom closed']"
